Citation,Year,Time of pattern comparison,HPC subregions,Within- vs. across-stimulus,Similarity increase/decrease/null,Link
"Alm, K. H., Ngo, C. T., & Olson, I. R. (2019). Hippocampal signatures of awake targeted memory reactivation. Brain Structure and Function, 224(2), 713-726.",2019,ERS,N/A,Within,Increase but benefit of dissimilarity at encoding,https://link.springer.com/article/10.1007/s00429-018-1790-2
"Aly, M., & Turk-Browne, N. B. (2016). Attention stabilizes representations in the human hippocampus. Cerebral Cortex, 26(2), 783-796.",2016,Encoding,Subfields,Across: attentional state,Increase,https://academic.oup.com/cercor/article/26/2/783/2367103
"Backus, A. R., Bosch, S. E., Ekman, M., Grabovetsky, A. V., & Doeller, C. F. (2016). Mnemonic convergence in the human hippocampus. Nature Communications, 7, 11991.",2016,Retrieval,Searchlight,Within,Increase,https://www.nature.com/articles/ncomms11991
"Berens, S. C., Horst, J. S., & Bird, C. M. (2018). Cross-situational learning is supported by propose-but-verify hypothesis testing. Current Biology, 28(7), 1132-1136.",2018,Encoding,Searchlight,Across: learned vs. unleared information,Decrease,https://www.sciencedirect.com/science/article/pii/S0960982218302276
"Berron, D., Schütze, H., Maass, A., Cardenas-Blanco, A., Kuijf, H. J., Kumaran, D., & Düzel, E. (2016). Strong evidence for pattern separation in human dentate gyrus. Journal of Neuroscience, 36(29), 7569-7579.",2016,"Encoding, Retrieval",Subfields,Across: lure items,Increase,https://www.jneurosci.org/content/36/29/7569.short
"Blumenthal, A., Stojanoski, B., Martin, C. B., Cusack, R., & Köhler, S. (2018). Animacy and real?world size shape object representations in the human medial temporal lobes. Human Brain Mapping, 39(9), 3779-3792.",2018,Encoding,N/A,Across: animacy & size,Increase,https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.24212
"Boccia, M., Sulpizio, V., Teghil, A., Palermo, L., Piccardi, L., Galati, G., & Guariglia, C. (2019). The dynamic contribution of the high-level visual cortex to imagery and perception. Human Brain Mapping, 40(8), 2449-2463.",2019,"Retrieval, Imagery",N/A,Across: face & landmark stimuli,Increase,https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.24535
"Bonnici, H. B., Chadwick, M., Kumaran, D., Hassabis, D., Weiskopf, N., & Maguire, E. A. (2012). Multi-voxel pattern analysis in human hippocampal subfields.Â Frontiers in human neuroscience,Â 6, 290.",2012,Encoding,Subfields,Within,Increase,https://www.frontiersin.org/articles/10.3389/fnhum.2012.00290/full
"Bonnici, H. M., & Maguire, E. A. (2018). Two years later–Revisiting autobiographical memory representations in vmPFC and hippocampus. Neuropsychologia, 110, 159-169.",2018,Retrieval,aHPC vs. pHPC,Within,Increase,https://www.sciencedirect.com/science/article/pii/S002839321730180X
"Bonnici, H. M., Chadwick, M. J., & Maguire, E. A. (2013). Representations of recent and remote autobiographical memories in hippocampal subfields. Hippocampus, 23(10), 849-854.",2013,Retrieval,"Subfields, aHPC vs. pHPC",Within,Increase,https://onlinelibrary.wiley.com/doi/full/10.1002/hipo.22155
